team,elo
Spain,1753.598351498921
Argentina,1710.957621791097
France,1667.554614261378
England,1608.9914240460964
Brazil,1584.3920000620244
Colombia,1580.7208355687133
Portugal,1574.733585009018
Ecuador,1546.093343236531
Netherlands,1540.8435073699368
Japan,1521.7898327035277
Croatia,1514.5238569740814
Morocco,1512.606518267012
Germany,1510.1745587871596
Uruguay,1501.4137755598383
Norway,1499.0057161789118
Mexico,1486.7821214298879
Turkey,1485.1256937386415
Switzerland,1466.9530221540442
Senegal,1458.3048903737897
Denmark,1458.1304838595163
Italy,1443.4381545032013
Paraguay,1441.7958604744595
Australia,1437.4279565977488
Belgium,1437.0165692243697
Canada,1421.6588041139137
Iran,1415.8397248097403
South Korea,1405.13489733879
Austria,1401.2698245217387
Nigeria,1399.5583389045557
Panama,1389.1486499304378
Algeria,1387.4746147122983
Uzbekistan,1367.5985291626218
Serbia,1365.6828591164513
Russia,1359.8863772597397
Scotland,1354.2554943182913
United States,1351.3551996484587
Ukraine,1344.7475121219186
Greece,1343.8925848711099
Venezuela,1341.9640993621283
Egypt,1337.2241433010956
Ivory Coast,1326.9417842095404
Chile,1320.5588662136847
Jordan,1320.2753283209188
Kosovo,1308.479425008327
Czech Republic,1306.730523586529
Poland,1302.1222109334517
Sweden,1301.3828069118626
DR Congo,1299.2471758603526
Peru,1289.6056889419642
Costa Rica,1284.206821783986
Wales,1279.935029642161
Tunisia,1278.8174400531948
Iraq,1275.6692985803218
Jersey,1275.487909126668
New Zealand,1273.499389247541
Hungary,1272.2300038424266
Republic of Ireland,1268.9007247833056
Slovenia,1268.6871659443937
Bolivia,1268.237707738458
Cameroon,1255.508414560001
Mali,1247.201931706287
Slovakia,1244.148909087502
Honduras,1238.2685941515392
Georgia,1229.9085037556183
Haiti,1225.2951345124227
Albania,1223.433815791477
Saudi Arabia,1218.0326994508612
Israel,1216.230550668775
Jamaica,1212.1980895760278
Romania,1210.4663728877417
United Arab Emirates,1200.291924454826
Guernsey,1200.219750956482
Guatemala,1196.8430646035329
Cape Verde,1190.3132900469354
South Africa,1189.136506834581
Burkina Faso,1188.2224255654032
Isle of Man,1185.4925376049587
Basque Country,1178.8467629540028
Northern Ireland,1173.1065734479266
North Macedonia,1171.2252439251488
Bosnia and Herzegovina,1169.4617910061847
Syria,1152.193791908332
Ghana,1151.5771880781851
Curaçao,1149.0393328093455
Iceland,1144.0963216454109
New Caledonia,1137.0947499666488
Padania,1136.305642979785
Oman,1132.0729174469402
Palestine,1131.874788834886
Northern Cyprus,1130.0955346822493
Ynys Môn,1127.22132069204
Suriname,1122.0677140009282
Guinea,1119.406709183467
Angola,1116.9538865255736
Catalonia,1114.7820842567764
Finland,1110.6155192895853
Qatar,1106.10830106927
Occitania,1105.3454012770706
Isle of Wight,1102.4776999531607
Abkhazia,1092.8739342118706
Belarus,1090.9940954525416
Benin,1088.7660861149657
Iraqi Kurdistan,1085.9610751241055
China PR,1085.6925944808422
Bahrain,1081.6075781334314
Zambia,1081.2420850747735
Thailand,1080.9658347660998
Trinidad and Tobago,1077.909168766111
Kárpátalja,1076.5952775939386
Gambia,1074.4322183637287
Bulgaria,1071.2239560753233
Yugoslavia,1070.3970143213644
Libya,1063.7327489788713
Panjab,1062.7671637660355
Czechoslovakia,1060.5237178278633
Réunion,1060.258809206674
Tahiti,1058.1372564449744
County of Nice,1054.6402767899406
Kernow,1052.868226814369
Gabon,1052.7934530600157
Guadeloupe,1051.3187731009627
Zanzibar,1051.2222550508416
Ellan Vannin,1047.1275648159951
Andalusia,1045.8452602958403
Niger,1045.1711238437208
Uganda,1045.085694339065
Madagascar,1043.2898676812363
Chameria,1042.5454861603032
Rhodes,1040.817327066034
German DR,1039.9561412988023
Yorkshire,1039.3261683042663
Guyana,1039.161698956784
Nicaragua,1039.0228571681344
Menorca,1038.9269238165245
Artsakh,1036.4241463083774
Mozambique,1034.39767426712
El Salvador,1034.192039431247
Cascadia,1033.514373949895
North Korea,1028.6199810658188
Malaysia,1028.5589778391009
Corsica,1027.066671133229
Kazakhstan,1026.9327688391168
Arameans Suryoye,1026.8828142396603
Maule Sur,1024.303011920245
Shetland,1021.614362692504
Indonesia,1019.8512168174094
Tamil Eelam,1019.1039701572622
Dominican Republic,1019.0150552580056
Martinique,1016.2755836281619
Vietnam,1015.9216330506995
Western Armenia,1014.2700337451234
Togo,1013.5325325948694
Montenegro,1013.4262927246394
Biafra,1013.0555081000024
Comoros,1011.8867510182191
Surrey,1011.4108459573501
Sierra Leone,1010.7872216428532
Parishes of Jersey,1010.3545549103534
Galicia,1009.5851709051387
Donetsk PR,1007.4263845691121
Mapuche,1007.2626521391126
Canary Islands,1006.6318397602214
Elba Island,1006.5498517727359
Felvidék,1005.0982739732956
Kenya,1005.0064879208603
Zimbabwe,1004.140422306511
Crimea,1004.0923900159099
Brittany,1003.9969377145095
Sudan,1003.9058883911425
United Koreans in Japan,1003.4638354904324
Silesia,1002.7165925140674
Kuwait,1001.0997809076952
Délvidék,1000.1261518725402
Asturias,1000.1096962798567
Central Spain,999.9749782772773
North Vietnam,999.5607055570028
Manchukuo,999.141825117013
Saarland,998.3250132672651
Papua New Guinea,998.0973781128231
Saugeais,997.1926080665642
South Yemen,996.6109709450683
West Papua,996.302848405307
Cilento,995.4638716156818
Lebanon,995.1057106777611
Western Sahara,994.6215146247532
Székely Land,994.2549787869775
Madrid,994.1942934611834
Western Australia,993.7237902504678
Republic of St. Pauli,993.3310654125521
Luhansk PR,992.8016714426127
Seborga,992.2818608906198
Niue,992.0304202160122
Gozo,991.2429142470876
Sealand,990.8167681972056
Kyrgyzstan,990.7983518709509
Matabeleland,989.5793886089297
South Ossetia,989.4558992497633
Vietnam Republic,989.0118065752417
Provence,988.8203817462384
Franconia,987.4898448030822
Tajikistan,987.4420254163257
French Guiana,987.1067264642818
Yoruba Nation,986.0992300757194
Mayotte,985.0248101671548
Equatorial Guinea,984.894688214808
Somaliland,983.8381404982289
Ryūkyū,983.8129160780131
Palau,983.2640742990371
Sápmi,982.9068079962015
Greenland,981.9191641558991
Yemen DPR,981.8117751372591
Chechnya,981.6435419004825
Rwanda,978.5712593301917
Romani people,977.0765529614882
Malawi,976.8909804189566
Găgăuzia,975.4923414108862
Vanuatu,975.3350480361099
Monaco,973.7898479952449
Kabylia,972.358638278938
Fiji,971.4108427394048
Åland Islands,970.5633654013004
Gotland,969.5608303694481
Aymara,968.4343359406424
Wallis Islands and Futuna,967.790739206989
Mauritania,966.7985249618948
Hmong,964.0295734332298
Faroe Islands,963.969460315068
Liberia,962.8071617270667
Cuba,962.5745206278694
Orkney,958.5699149439987
Western Isles,958.4904620856913
Ambazonia,957.2032958899521
Saint Barthélemy,954.938407919736
Namibia,954.4329663897695
Luxembourg,954.0043746167069
Vatican City,950.6812474524661
Tanzania,949.5864355517785
Micronesia,949.140756724881
Lesotho,948.9428943861603
Sark,945.5569123493915
Two Sicilies,941.3380561397819
Armenia,938.1139292493268
Ticino,936.1160622041147
Turkmenistan,932.6526696210568
Hitra,930.6828448807518
Puerto Rico,928.238733384
Saare County,928.1334274950492
Estonia,924.7774983622428
Raetia,923.1015036637805
Ethiopia,920.3287291518882
Marshall Islands,920.2345963900382
Azerbaijan,920.2139147628778
Botswana,920.0161918292642
Burundi,919.7908552595279
Kiribati,910.214737406966
Solomon Islands,910.1037628962819
Saint Vincent and the Grenadines,903.3126708593431
Central African Republic,899.4731067011469
Saint Pierre and Miquelon,899.1467967685522
Chagos Islands,898.4911652642179
Barawa,896.2327597632594
Guinea-Bissau,895.1295596691144
Saint Martin,889.347794902721
Philippines,884.6818184756459
Hong Kong,883.7536649352029
Saint Helena,876.835757439323
Sint Maarten,875.5188098007476
Cyprus,875.1014225972527
Darfur,874.6745891017882
Yemen,871.1057436530839
Tibet,865.6156214456059
Congo,860.8405947261222
Samoa,860.3095115693504
Bermuda,858.3049054314878
Eswatini,856.398366681622
Singapore,850.2808826203382
Latvia,849.59579434937
Lithuania,849.360575006714
Malta,847.2084303384145
Belize,845.8967387173553
Grenada,841.8553420155312
Moldova,838.5254408439243
Tuvalu,831.2356191521926
Eritrea,830.9025441989901
Saint Kitts and Nevis,827.5923586390231
Falkland Islands,815.3354227525709
Montserrat,811.603131947057
South Sudan,807.0417227710984
Aruba,798.0900947384142
India,792.7827905575986
Cook Islands,789.2103511044064
Saint Lucia,785.3288328828725
Frøya,783.787980337413
Afghanistan,781.5465831806385
Chad,780.2458149609515
Mauritius,755.6359774684744
Dominica,746.0604551657966
Tonga,740.2548827243926
Bonaire,737.94172640402
São Tomé and Príncipe,721.582230446883
Barbados,702.8940103100905
Antigua and Barbuda,697.1507729274523
Bangladesh,690.766533600477
Alderney,686.9012459217603
Myanmar,686.4245265771154
Nepal,664.073994448622
Northern Mariana Islands,662.9335564869554
Cayman Islands,660.8515827275997
Somalia,658.9404318341766
Djibouti,654.7305536133547
Andorra,652.702467190489
Guam,635.4825590771784
British Virgin Islands,632.4204956941182
Cambodia,626.7076275744807
American Samoa,622.4778038489657
Taiwan,620.8162811320415
Gibraltar,616.5542891307733
Maldives,613.5481452730618
Pakistan,603.8837145621378
Turks and Caicos Islands,603.5609181844989
United States Virgin Islands,602.5119589558087
Mongolia,601.0167045399585
Sri Lanka,596.4127059268917
Seychelles,557.6381309133404
Bahamas,547.8044670273559
Laos,518.4068336305456
Brunei,517.6550586166134
Anguilla,517.2010891898544
Timor-Leste,502.1805478111439
Bhutan,493.1700142442091
Liechtenstein,480.7205224114866
Macau,471.6794453655923
San Marino,444.5951734670484
