team,p_round_of_32,p_round_of_16,p_quarter_final,p_semi_final,p_final,p_champion,p_runner_up,p_third_place
Spain,1.0,0.74,0.64,0.51,0.36,0.22,0.14,0.12
France,0.97,0.77,0.55,0.39,0.23,0.17,0.06,0.11
Argentina,0.98,0.59,0.43,0.3,0.17,0.09,0.08,0.09
England,0.95,0.68,0.47,0.27,0.16,0.08,0.08,0.06
Brazil,0.92,0.62,0.33,0.23,0.11,0.07,0.04,0.08
Portugal,0.91,0.52,0.33,0.13,0.1,0.05,0.05,0.02
Uruguay,0.91,0.45,0.27,0.16,0.1,0.05,0.05,0.03
Colombia,0.89,0.54,0.32,0.09,0.06,0.04,0.02,0.03
Germany,0.95,0.57,0.39,0.15,0.09,0.04,0.05,0.01
United States,0.79,0.33,0.15,0.1,0.06,0.03,0.03,0.0
Switzerland,0.98,0.54,0.27,0.16,0.05,0.02,0.03,0.05
Senegal,0.55,0.3,0.16,0.06,0.04,0.02,0.02,0.01
Japan,0.78,0.3,0.14,0.08,0.03,0.02,0.01,0.0
Paraguay,0.63,0.33,0.13,0.05,0.04,0.01,0.03,0.0
Morocco,0.89,0.44,0.21,0.11,0.04,0.01,0.03,0.04
Scotland,0.6,0.22,0.07,0.03,0.01,0.01,0.0,0.0
Netherlands,0.91,0.55,0.28,0.16,0.04,0.01,0.03,0.07
South Korea,0.86,0.43,0.13,0.08,0.02,0.01,0.01,0.03
Ecuador,0.92,0.52,0.31,0.19,0.05,0.01,0.04,0.05
Turkey,0.72,0.41,0.21,0.07,0.05,0.01,0.04,0.01
Canada,0.97,0.53,0.18,0.07,0.03,0.01,0.02,0.02
Belgium,0.83,0.51,0.23,0.07,0.01,0.01,0.0,0.02
Australia,0.65,0.37,0.14,0.05,0.03,0.01,0.02,0.01
Norway,0.81,0.41,0.19,0.03,0.02,0.0,0.02,0.01
South Africa,0.29,0.1,0.01,0.01,0.0,0.0,0.0,0.0
Sweden,0.46,0.12,0.04,0.01,0.0,0.0,0.0,0.01
Saudi Arabia,0.37,0.06,0.01,0.0,0.0,0.0,0.0,0.0
Qatar,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.56,0.16,0.04,0.0,0.0,0.0,0.0,0.0
Panama,0.67,0.23,0.11,0.03,0.01,0.0,0.01,0.01
Algeria,0.66,0.21,0.1,0.06,0.01,0.0,0.01,0.02
New Zealand,0.5,0.12,0.05,0.02,0.01,0.0,0.01,0.0
DR Congo,0.38,0.13,0.05,0.02,0.01,0.0,0.01,0.0
Austria,0.66,0.24,0.09,0.03,0.01,0.0,0.01,0.0
Bosnia and Herzegovina,0.37,0.11,0.01,0.0,0.0,0.0,0.0,0.0
Cape Verde,0.29,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,0.87,0.47,0.2,0.05,0.0,0.0,0.0,0.02
Curaçao,0.24,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.6,0.25,0.06,0.0,0.0,0.0,0.0,0.0
Egypt,0.58,0.29,0.11,0.02,0.01,0.0,0.01,0.0
Mexico,0.95,0.54,0.17,0.07,0.01,0.0,0.01,0.04
Ghana,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.29,0.03,0.01,0.01,0.0,0.0,0.0,0.0
Iran,0.76,0.45,0.16,0.07,0.0,0.0,0.0,0.01
Iraq,0.29,0.06,0.02,0.01,0.0,0.0,0.0,0.01
Ivory Coast,0.62,0.27,0.14,0.03,0.02,0.0,0.02,0.01
Jordan,0.32,0.1,0.03,0.01,0.0,0.0,0.0,0.0
Uzbekistan,0.45,0.17,0.06,0.01,0.01,0.0,0.01,0.0
