simulation,match_id,round,home_team,away_team,home_goals,away_goals,winner,loser,penalties
1,73,Round of 32,Mexico,Canada,2,1,Mexico,Canada,False
1,74,Round of 32,Morocco,Sweden,1,1,Morocco,Sweden,True
1,75,Round of 32,Germany,Haiti,6,0,Germany,Haiti,False
1,76,Round of 32,Japan,Brazil,0,2,Brazil,Japan,False
1,77,Round of 32,Ivory Coast,Senegal,1,2,Senegal,Ivory Coast,False
1,78,Round of 32,France,United States,2,0,France,United States,False
1,79,Round of 32,Czech Republic,Cape Verde,2,1,Czech Republic,Cape Verde,False
1,80,Round of 32,England,Norway,3,3,Norway,England,True
1,81,Round of 32,Belgium,South Africa,1,1,Belgium,South Africa,True
1,82,Round of 32,Australia,Algeria,2,1,Australia,Algeria,False
1,83,Round of 32,Colombia,Croatia,1,1,Croatia,Colombia,True
1,84,Round of 32,Uruguay,Argentina,1,1,Argentina,Uruguay,True
1,85,Round of 32,Switzerland,Iran,2,1,Switzerland,Iran,False
1,86,Round of 32,Paraguay,Egypt,0,0,Egypt,Paraguay,True
1,87,Round of 32,Austria,Spain,0,2,Spain,Austria,False
1,88,Round of 32,DR Congo,Panama,0,0,Panama,DR Congo,True
1,89,Round of 16,Mexico,Germany,1,1,Germany,Mexico,True
1,90,Round of 16,Morocco,Senegal,4,0,Morocco,Senegal,False
1,91,Round of 16,Brazil,France,0,4,France,Brazil,False
1,92,Round of 16,Czech Republic,Norway,1,1,Norway,Czech Republic,True
1,93,Round of 16,Croatia,Argentina,1,1,Argentina,Croatia,True
1,94,Round of 16,Belgium,Australia,1,0,Belgium,Australia,False
1,95,Round of 16,Egypt,Panama,0,3,Panama,Egypt,False
1,96,Round of 16,Switzerland,Spain,1,2,Spain,Switzerland,False
1,97,Quarter-final,Germany,Morocco,3,1,Germany,Morocco,False
1,98,Quarter-final,Argentina,Belgium,1,0,Argentina,Belgium,False
1,99,Quarter-final,France,Norway,1,0,France,Norway,False
1,100,Quarter-final,Panama,Spain,1,2,Spain,Panama,False
1,101,Semi-final,Germany,Argentina,1,0,Germany,Argentina,False
1,102,Semi-final,France,Spain,1,0,France,Spain,False
1,103,Third-place playoff,Argentina,Spain,2,2,Spain,Argentina,True
1,104,Final,Germany,France,1,1,France,Germany,True
2,73,Round of 32,Czech Republic,Qatar,1,1,Czech Republic,Qatar,True
2,74,Round of 32,Brazil,Tunisia,0,1,Tunisia,Brazil,False
2,75,Round of 32,Ecuador,South Korea,1,1,Ecuador,South Korea,True
2,76,Round of 32,Netherlands,Morocco,2,1,Netherlands,Morocco,False
2,77,Round of 32,Germany,France,2,4,France,Germany,False
2,78,Round of 32,Norway,Paraguay,3,0,Norway,Paraguay,False
2,79,Round of 32,Mexico,Ivory Coast,1,1,Ivory Coast,Mexico,True
2,80,Round of 32,England,Portugal,2,2,Portugal,England,True
2,81,Round of 32,Iran,Senegal,2,0,Iran,Senegal,False
2,82,Round of 32,Turkey,Canada,1,0,Turkey,Canada,False
